history_type,target_category,intensity,condition,p_condition,p_neutral,difference,ratio
sport_history,Sports,1,sport_history_1,0.32,0.02857142857142857,0.2914285714285714,11.200000000000001
sport_history,Sports,3,sport_history_3,0.39555555555555555,0.02857142857142857,0.36698412698412697,13.844444444444445
sport_history,Sports,8,sport_history_8,0.16901408450704225,0.02857142857142857,0.14044265593561367,5.915492957746479
gaming_history,Gaming,1,gaming_history_1,0.4311111111111111,0.0761904761904762,0.3549206349206349,5.658333333333333
gaming_history,Gaming,3,gaming_history_3,0.22666666666666666,0.0761904761904762,0.15047619047619046,2.9749999999999996
gaming_history,Gaming,8,gaming_history_8,0.27111111111111114,0.0761904761904762,0.19492063492063494,3.558333333333333
news_history,News & Politics,1,news_history_1,0.08444444444444445,0.0,0.08444444444444445,
news_history,News & Politics,3,news_history_3,0.017777777777777778,0.0,0.017777777777777778,
news_history,News & Politics,8,news_history_8,0.0044444444444444444,0.0,0.0044444444444444444,
science_history,Science & Technology,1,science_history_1,0.008888888888888889,0.0,0.008888888888888889,
science_history,Science & Technology,3,science_history_3,0.044444444444444446,0.0,0.044444444444444446,
science_history,Science & Technology,8,science_history_8,0.07111111111111111,0.0,0.07111111111111111,
