condition,target_category,p_condition,p_others_mean,difference,ratio
gaming_history_1,Gaming,0.4311111111111111,0.07353230494075565,0.3575788061703555,5.862880423216077
gaming_history_3,Gaming,0.22666666666666666,0.0905693419777927,0.13609732468887395,2.5026864689184176
gaming_history_8,Gaming,0.27111111111111114,0.08686563827408898,0.18424547283702214,3.1210397632222366
news_history_1,News & Politics,0.08444444444444445,0.001851851851851852,0.08259259259259259,45.6
news_history_3,News & Politics,0.017777777777777778,0.007407407407407408,0.01037037037037037,2.4
news_history_8,News & Politics,0.0044444444444444444,0.008518518518518519,-0.004074074074074075,0.5217391304347826
science_history_1,Science & Technology,0.008888888888888889,0.01709963484611372,-0.00821074595722483,0.5198291641244661
science_history_3,Science & Technology,0.044444444444444446,0.014136671883150757,0.03030777256129369,3.143911439114391
science_history_8,Science & Technology,0.07111111111111111,0.011914449660928535,0.059196661450182576,5.968476357267951
sport_history_1,Sports,0.32,0.07165064460839109,0.2483493553916089,4.466114739776178
sport_history_3,Sports,0.39555555555555555,0.06535434831209479,0.33020120724346075,6.052474942701742
sport_history_8,Sports,0.16901408450704225,0.08423280423280423,0.08478128027423802,2.006511430391394
