session_id,timestamp,condition,history_category,history_intensity,history_video_count,video_id,url,previous_url,previous_2_url,category,previous_category,previous_2_category,depth,total_seen_depth,watch_time,is_sponsored,include_in_prediction,sponsored_skipped_before
20260428_150650,2026-04-28T15:07:12.788121,neutral,neutral,0,0,lFrIiPEUsU0,https://www.youtube.com/shorts/lFrIiPEUsU0,,,People & Blogs,,,1,1,1.5,0,1,0
20260428_150650,2026-04-28T15:07:23.891539,neutral,neutral,0,0,PhSN891_gN8,https://www.youtube.com/shorts/PhSN891_gN8,https://www.youtube.com/shorts/lFrIiPEUsU0,,Film & Animation,People & Blogs,,2,2,1.5,0,1,0
20260428_150650,2026-04-28T15:07:32.647360,neutral,neutral,0,0,9cWPEHLryx4,https://www.youtube.com/shorts/9cWPEHLryx4,https://www.youtube.com/shorts/PhSN891_gN8,https://www.youtube.com/shorts/lFrIiPEUsU0,Sports,Film & Animation,People & Blogs,3,3,1.5,0,1,0
20260428_150650,2026-04-28T15:07:52.038623,neutral,neutral,0,0,rQlaadykqgI,https://www.youtube.com/shorts/rQlaadykqgI,https://www.youtube.com/shorts/9cWPEHLryx4,https://www.youtube.com/shorts/PhSN891_gN8,Gaming,Sports,Film & Animation,4,5,1.5,0,1,1
20260428_150650,2026-04-28T15:08:02.483875,neutral,neutral,0,0,jfF-F16k__k,https://www.youtube.com/shorts/jfF-F16k__k,https://www.youtube.com/shorts/rQlaadykqgI,https://www.youtube.com/shorts/9cWPEHLryx4,Gaming,Gaming,Sports,5,6,1.5,0,1,1
20260428_150650,2026-04-28T15:08:12.108167,neutral,neutral,0,0,50jMfdp7erU,https://www.youtube.com/shorts/50jMfdp7erU,https://www.youtube.com/shorts/jfF-F16k__k,https://www.youtube.com/shorts/rQlaadykqgI,Entertainment,Gaming,Gaming,6,7,1.5,0,1,1
20260428_150650,2026-04-28T15:08:20.694887,neutral,neutral,0,0,1LauKtbgkpo,https://www.youtube.com/shorts/1LauKtbgkpo,https://www.youtube.com/shorts/50jMfdp7erU,https://www.youtube.com/shorts/jfF-F16k__k,Education,Entertainment,Gaming,7,8,1.5,0,1,1
20260428_150650,2026-04-28T15:08:38.683730,neutral,neutral,0,0,iNwW5toFAe8,https://www.youtube.com/shorts/iNwW5toFAe8,https://www.youtube.com/shorts/1LauKtbgkpo,https://www.youtube.com/shorts/50jMfdp7erU,People & Blogs,Education,Entertainment,8,10,1.5,0,1,2
20260428_150650,2026-04-28T15:08:47.754273,neutral,neutral,0,0,BY39DpvNJjY,https://www.youtube.com/shorts/BY39DpvNJjY,https://www.youtube.com/shorts/iNwW5toFAe8,https://www.youtube.com/shorts/1LauKtbgkpo,Entertainment,People & Blogs,Education,9,11,1.5,0,1,2
20260428_150650,2026-04-28T15:08:56.955606,neutral,neutral,0,0,nGp8uGp4hkM,https://www.youtube.com/shorts/nGp8uGp4hkM,https://www.youtube.com/shorts/BY39DpvNJjY,https://www.youtube.com/shorts/iNwW5toFAe8,Entertainment,Entertainment,People & Blogs,10,12,1.5,0,1,2
20260428_150650,2026-04-28T15:09:06.361648,neutral,neutral,0,0,F62_IA4Peos,https://www.youtube.com/shorts/F62_IA4Peos,https://www.youtube.com/shorts/nGp8uGp4hkM,https://www.youtube.com/shorts/BY39DpvNJjY,Sports,Entertainment,Entertainment,11,13,1.5,0,1,2
20260428_150650,2026-04-28T15:09:25.414412,neutral,neutral,0,0,si3-2ll-K6E,https://www.youtube.com/shorts/si3-2ll-K6E,https://www.youtube.com/shorts/F62_IA4Peos,https://www.youtube.com/shorts/nGp8uGp4hkM,Entertainment,Sports,Entertainment,12,15,1.5,0,1,3
20260428_150650,2026-04-28T15:09:34.660112,neutral,neutral,0,0,_762dULWX2M,https://www.youtube.com/shorts/_762dULWX2M,https://www.youtube.com/shorts/si3-2ll-K6E,https://www.youtube.com/shorts/F62_IA4Peos,People & Blogs,Entertainment,Sports,13,16,1.5,0,1,3
20260428_150650,2026-04-28T15:09:43.967867,neutral,neutral,0,0,lW-l6olG_iA,https://www.youtube.com/shorts/lW-l6olG_iA,https://www.youtube.com/shorts/_762dULWX2M,https://www.youtube.com/shorts/si3-2ll-K6E,Education,People & Blogs,Entertainment,14,17,1.5,0,1,3
20260428_150650,2026-04-28T15:09:53.156952,neutral,neutral,0,0,SdnYWKfAh9M,https://www.youtube.com/shorts/SdnYWKfAh9M,https://www.youtube.com/shorts/lW-l6olG_iA,https://www.youtube.com/shorts/_762dULWX2M,Entertainment,Education,People & Blogs,15,18,1.5,0,1,3
20260428_151000,2026-04-28T15:10:24.512091,neutral,neutral,0,0,R-KWPccZrP4,https://www.youtube.com/shorts/R-KWPccZrP4,,,Film & Animation,,,1,1,1.5,0,1,0
20260428_151000,2026-04-28T15:10:35.622541,neutral,neutral,0,0,7a6nTMXl5WM,https://www.youtube.com/shorts/7a6nTMXl5WM,https://www.youtube.com/shorts/R-KWPccZrP4,,People & Blogs,Film & Animation,,2,2,1.5,0,1,0
20260428_151000,2026-04-28T15:10:45.191668,neutral,neutral,0,0,w47z1nMS1VA,https://www.youtube.com/shorts/w47z1nMS1VA,https://www.youtube.com/shorts/7a6nTMXl5WM,https://www.youtube.com/shorts/R-KWPccZrP4,Entertainment,People & Blogs,Film & Animation,3,3,1.5,0,1,0
20260428_151000,2026-04-28T15:11:04.406412,neutral,neutral,0,0,BbuB_RLAsCY,https://www.youtube.com/shorts/BbuB_RLAsCY,https://www.youtube.com/shorts/w47z1nMS1VA,https://www.youtube.com/shorts/7a6nTMXl5WM,Entertainment,Entertainment,People & Blogs,4,5,1.5,0,1,1
20260428_151000,2026-04-28T15:11:13.645425,neutral,neutral,0,0,pvCnVHbo36g,https://www.youtube.com/shorts/pvCnVHbo36g,https://www.youtube.com/shorts/BbuB_RLAsCY,https://www.youtube.com/shorts/w47z1nMS1VA,People & Blogs,Entertainment,Entertainment,5,6,1.5,0,1,1
20260428_151000,2026-04-28T15:11:32.393970,neutral,neutral,0,0,s-UzSNN076k,https://www.youtube.com/shorts/s-UzSNN076k,https://www.youtube.com/shorts/pvCnVHbo36g,https://www.youtube.com/shorts/BbuB_RLAsCY,Entertainment,People & Blogs,Entertainment,6,8,1.5,0,1,2
20260428_151000,2026-04-28T15:11:40.997560,neutral,neutral,0,0,oncROCIr_uw,https://www.youtube.com/shorts/oncROCIr_uw,https://www.youtube.com/shorts/s-UzSNN076k,https://www.youtube.com/shorts/pvCnVHbo36g,People & Blogs,Entertainment,People & Blogs,7,9,1.5,0,1,2
20260428_151000,2026-04-28T15:11:59.621865,neutral,neutral,0,0,MIY9pqq3i80,https://www.youtube.com/shorts/MIY9pqq3i80,https://www.youtube.com/shorts/oncROCIr_uw,https://www.youtube.com/shorts/s-UzSNN076k,People & Blogs,People & Blogs,Entertainment,8,11,1.5,0,1,3
20260428_151000,2026-04-28T15:12:13.317976,neutral,neutral,0,0,OoBf9tfZRMc,https://www.youtube.com/shorts/OoBf9tfZRMc,https://www.youtube.com/shorts/MIY9pqq3i80,https://www.youtube.com/shorts/oncROCIr_uw,People & Blogs,People & Blogs,People & Blogs,9,12,1.5,0,1,3
20260428_151000,2026-04-28T15:12:32.597728,neutral,neutral,0,0,SSWelvho0GE,https://www.youtube.com/shorts/SSWelvho0GE,https://www.youtube.com/shorts/OoBf9tfZRMc,https://www.youtube.com/shorts/MIY9pqq3i80,People & Blogs,People & Blogs,People & Blogs,10,14,1.5,0,1,4
20260428_151000,2026-04-28T15:12:41.839366,neutral,neutral,0,0,HQMTRUqg_aM,https://www.youtube.com/shorts/HQMTRUqg_aM,https://www.youtube.com/shorts/SSWelvho0GE,https://www.youtube.com/shorts/OoBf9tfZRMc,Pets & Animals,People & Blogs,People & Blogs,11,15,1.5,0,1,4
20260428_151000,2026-04-28T15:12:51.130925,neutral,neutral,0,0,xKU0mjkV598,https://www.youtube.com/shorts/xKU0mjkV598,https://www.youtube.com/shorts/HQMTRUqg_aM,https://www.youtube.com/shorts/SSWelvho0GE,Entertainment,Pets & Animals,People & Blogs,12,16,1.5,0,1,4
20260428_151000,2026-04-28T15:13:00.311979,neutral,neutral,0,0,5zw0qhvZoho,https://www.youtube.com/shorts/5zw0qhvZoho,https://www.youtube.com/shorts/xKU0mjkV598,https://www.youtube.com/shorts/HQMTRUqg_aM,People & Blogs,Entertainment,Pets & Animals,13,17,1.5,0,1,4
20260428_151000,2026-04-28T15:13:19.803258,neutral,neutral,0,0,qtxUtMhDqYI,https://www.youtube.com/shorts/qtxUtMhDqYI,https://www.youtube.com/shorts/5zw0qhvZoho,https://www.youtube.com/shorts/xKU0mjkV598,Music,People & Blogs,Entertainment,14,19,1.5,0,1,5
20260428_151000,2026-04-28T15:13:29.266312,neutral,neutral,0,0,20Pk0xtz_ow,https://www.youtube.com/shorts/20Pk0xtz_ow,https://www.youtube.com/shorts/qtxUtMhDqYI,https://www.youtube.com/shorts/5zw0qhvZoho,People & Blogs,Music,People & Blogs,15,20,1.5,0,1,5
20260428_151336,2026-04-28T15:13:58.446986,neutral,neutral,0,0,oHlXU0xiPAY,https://www.youtube.com/shorts/oHlXU0xiPAY,,,People & Blogs,,,1,1,1.5,0,1,0
20260428_151336,2026-04-28T15:14:09.415138,neutral,neutral,0,0,BY39DpvNJjY,https://www.youtube.com/shorts/BY39DpvNJjY,https://www.youtube.com/shorts/oHlXU0xiPAY,,Entertainment,People & Blogs,,2,2,1.5,0,1,0
20260428_151336,2026-04-28T15:14:18.743686,neutral,neutral,0,0,1LauKtbgkpo,https://www.youtube.com/shorts/1LauKtbgkpo,https://www.youtube.com/shorts/BY39DpvNJjY,https://www.youtube.com/shorts/oHlXU0xiPAY,Education,Entertainment,People & Blogs,3,3,1.5,0,1,0
20260428_151336,2026-04-28T15:14:38.589477,neutral,neutral,0,0,bY1YaTLlCN8,https://www.youtube.com/shorts/bY1YaTLlCN8,https://www.youtube.com/shorts/1LauKtbgkpo,https://www.youtube.com/shorts/BY39DpvNJjY,People & Blogs,Education,Entertainment,4,5,1.5,0,1,1
20260428_151336,2026-04-28T15:14:47.953908,neutral,neutral,0,0,pb03xNT6Tv8,https://www.youtube.com/shorts/pb03xNT6Tv8,https://www.youtube.com/shorts/bY1YaTLlCN8,https://www.youtube.com/shorts/1LauKtbgkpo,People & Blogs,People & Blogs,Education,5,6,1.5,0,1,1
20260428_151336,2026-04-28T15:14:57.190264,neutral,neutral,0,0,py3S6ixjn-Q,https://www.youtube.com/shorts/py3S6ixjn-Q,https://www.youtube.com/shorts/pb03xNT6Tv8,https://www.youtube.com/shorts/bY1YaTLlCN8,People & Blogs,People & Blogs,People & Blogs,6,7,1.5,0,1,1
20260428_151336,2026-04-28T15:15:06.292196,neutral,neutral,0,0,0vkuY29IOUA,https://www.youtube.com/shorts/0vkuY29IOUA,https://www.youtube.com/shorts/py3S6ixjn-Q,https://www.youtube.com/shorts/pb03xNT6Tv8,Film & Animation,People & Blogs,People & Blogs,7,8,1.5,0,1,1
20260428_151336,2026-04-28T15:15:15.798833,neutral,neutral,0,0,idcLxN17vD0,https://www.youtube.com/shorts/idcLxN17vD0,https://www.youtube.com/shorts/0vkuY29IOUA,https://www.youtube.com/shorts/py3S6ixjn-Q,People & Blogs,Film & Animation,People & Blogs,8,9,1.5,0,1,1
