session_id,timestamp,condition,history_category,history_intensity,history_video_count,video_id,url,category,depth,total_seen_depth,watch_time,is_sponsored,include_in_prediction,sponsored_skipped_before
20260428_224454,2026-04-28T22:45:29.278904,news_history_1,news,1,1,pNAC6dHJS0Y,https://www.youtube.com/shorts/pNAC6dHJS0Y,Comedy,1,1,1.5,0,1,0
20260428_224454,2026-04-28T22:45:40.325819,news_history_1,news,1,1,eZ3uI3UoMv4,https://www.youtube.com/shorts/eZ3uI3UoMv4,People & Blogs,2,2,1.5,0,1,0
20260428_224454,2026-04-28T22:45:49.405922,news_history_1,news,1,1,vtxrwhcRCZI,https://www.youtube.com/shorts/vtxrwhcRCZI,Sports,3,3,1.5,0,1,0
20260428_224454,2026-04-28T22:46:07.893015,news_history_1,news,1,1,EDpvc_YDRh4,https://www.youtube.com/shorts/EDpvc_YDRh4,People & Blogs,4,5,1.5,0,1,1
20260428_224454,2026-04-28T22:46:16.664829,news_history_1,news,1,1,uHZAZeVycM0,https://www.youtube.com/shorts/uHZAZeVycM0,Film & Animation,5,6,1.5,0,1,1
20260428_224454,2026-04-28T22:46:35.061681,news_history_1,news,1,1,q2643LyNAM8,https://www.youtube.com/shorts/q2643LyNAM8,Entertainment,6,8,1.5,0,1,2
20260428_224454,2026-04-28T22:46:44.387885,news_history_1,news,1,1,h06N73WF1Hk,https://www.youtube.com/shorts/h06N73WF1Hk,People & Blogs,7,9,1.5,0,1,2
20260428_224454,2026-04-28T22:46:53.296022,news_history_1,news,1,1,7_pIHua5yTg,https://www.youtube.com/shorts/7_pIHua5yTg,Entertainment,8,10,1.5,0,1,2
20260428_224454,2026-04-28T22:47:02.220734,news_history_1,news,1,1,SGe3OC0X-GM,https://www.youtube.com/shorts/SGe3OC0X-GM,People & Blogs,9,11,1.5,0,1,2
20260428_224454,2026-04-28T22:47:21.260336,news_history_1,news,1,1,_nJZQ3rk610,https://www.youtube.com/shorts/_nJZQ3rk610,People & Blogs,10,13,1.5,0,1,3
20260428_224454,2026-04-28T22:47:30.272626,news_history_1,news,1,1,rhZ_2mX4WxY,https://www.youtube.com/shorts/rhZ_2mX4WxY,People & Blogs,11,14,1.5,0,1,3
20260428_224454,2026-04-28T22:47:39.210697,news_history_1,news,1,1,uIC4AZP3wx4,https://www.youtube.com/shorts/uIC4AZP3wx4,Entertainment,12,15,1.5,0,1,3
20260428_224454,2026-04-28T22:47:48.164963,news_history_1,news,1,1,5cuW92VfgX8,https://www.youtube.com/shorts/5cuW92VfgX8,People & Blogs,13,16,1.5,0,1,3
20260428_224454,2026-04-28T22:48:06.633641,news_history_1,news,1,1,Kb2f0-vmG6Y,https://www.youtube.com/shorts/Kb2f0-vmG6Y,People & Blogs,14,18,1.5,0,1,4
20260428_224454,2026-04-28T22:48:15.251309,news_history_1,news,1,1,o-hUqFb5TQE,https://www.youtube.com/shorts/o-hUqFb5TQE,Entertainment,15,19,1.5,0,1,4
20260428_224822,2026-04-28T22:48:54.547570,news_history_1,news,1,1,5TYy_e8_Ay4,https://www.youtube.com/shorts/5TYy_e8_Ay4,News & Politics,1,1,1.5,0,1,0
20260428_224822,2026-04-28T22:49:05.590193,news_history_1,news,1,1,O67MoNjkeUo,https://www.youtube.com/shorts/O67MoNjkeUo,People & Blogs,2,2,1.5,0,1,0
20260428_224822,2026-04-28T22:49:14.444633,news_history_1,news,1,1,9mnvjqvSEgM,https://www.youtube.com/shorts/9mnvjqvSEgM,Sports,3,3,1.5,0,1,0
20260428_224822,2026-04-28T22:49:32.353096,news_history_1,news,1,1,IRfam8dwom8,https://www.youtube.com/shorts/IRfam8dwom8,People & Blogs,4,5,1.5,0,1,1
20260428_224822,2026-04-28T22:49:41.322948,news_history_1,news,1,1,XT9fII5P6g0,https://www.youtube.com/shorts/XT9fII5P6g0,Howto & Style,5,6,1.5,0,1,1
20260428_224822,2026-04-28T22:49:59.769810,news_history_1,news,1,1,yfuXvNCqAKo,https://www.youtube.com/shorts/yfuXvNCqAKo,People & Blogs,6,8,1.5,0,1,2
20260428_224822,2026-04-28T22:50:08.487285,news_history_1,news,1,1,y2hQWhuFUQc,https://www.youtube.com/shorts/y2hQWhuFUQc,People & Blogs,7,9,1.5,0,1,2
20260428_224822,2026-04-28T22:50:26.872903,news_history_1,news,1,1,iKO6j1KV8Xo,https://www.youtube.com/shorts/iKO6j1KV8Xo,People & Blogs,8,11,1.5,0,1,3
20260428_224822,2026-04-28T22:50:35.838731,news_history_1,news,1,1,87z2t3U9ziY,https://www.youtube.com/shorts/87z2t3U9ziY,People & Blogs,9,12,1.5,0,1,3
20260428_224822,2026-04-28T22:50:44.883365,news_history_1,news,1,1,FYkgbWWKRWM,https://www.youtube.com/shorts/FYkgbWWKRWM,Education,10,13,1.5,0,1,3
20260428_224822,2026-04-28T22:51:03.378069,news_history_1,news,1,1,Z8EIQmasIrA,https://www.youtube.com/shorts/Z8EIQmasIrA,People & Blogs,11,15,1.5,0,1,4
20260428_224822,2026-04-28T22:51:12.408965,news_history_1,news,1,1,l1rWyjDw1bY,https://www.youtube.com/shorts/l1rWyjDw1bY,Comedy,12,16,1.5,0,1,4
20260428_224822,2026-04-28T22:51:21.671891,news_history_1,news,1,1,Sby-hbuDDrI,https://www.youtube.com/shorts/Sby-hbuDDrI,News & Politics,13,17,1.5,0,1,4
20260428_224822,2026-04-28T22:51:30.469657,news_history_1,news,1,1,E6bD37T7CmE,https://www.youtube.com/shorts/E6bD37T7CmE,People & Blogs,14,18,1.5,0,1,4
20260428_224822,2026-04-28T22:51:39.154744,news_history_1,news,1,1,t-chJ2Dk6TM,https://www.youtube.com/shorts/t-chJ2Dk6TM,People & Blogs,15,19,1.5,0,1,4
20260428_225146,2026-04-28T22:52:18.439602,news_history_1,news,1,1,4RfEL9tvgJ4,https://www.youtube.com/shorts/4RfEL9tvgJ4,People & Blogs,1,1,1.5,0,1,0
20260428_225146,2026-04-28T22:52:29.418067,news_history_1,news,1,1,pKIMiqw_iow,https://www.youtube.com/shorts/pKIMiqw_iow,People & Blogs,2,2,1.5,0,1,0
20260428_225146,2026-04-28T22:52:38.333638,news_history_1,news,1,1,WX2oIV-9K04,https://www.youtube.com/shorts/WX2oIV-9K04,People & Blogs,3,3,1.5,0,1,0
20260428_225146,2026-04-28T22:52:56.792109,news_history_1,news,1,1,LBigKhDdGoA,https://www.youtube.com/shorts/LBigKhDdGoA,People & Blogs,4,5,1.5,0,1,1
20260428_225146,2026-04-28T22:53:05.593788,news_history_1,news,1,1,r2aKQMDmMQ0,https://www.youtube.com/shorts/r2aKQMDmMQ0,People & Blogs,5,6,1.5,0,1,1
20260428_225146,2026-04-28T22:53:23.980626,news_history_1,news,1,1,iR1OacafFMo,https://www.youtube.com/shorts/iR1OacafFMo,Education,6,8,1.5,0,1,2
20260428_225146,2026-04-28T22:53:33.082953,news_history_1,news,1,1,J_9pI01iXsI,https://www.youtube.com/shorts/J_9pI01iXsI,People & Blogs,7,9,1.5,0,1,2
20260428_225146,2026-04-28T22:53:50.894031,news_history_1,news,1,1,du2v66D7oh0,https://www.youtube.com/shorts/du2v66D7oh0,People & Blogs,8,11,1.5,0,1,3
20260428_225146,2026-04-28T22:53:59.899704,news_history_1,news,1,1,s_yLg-OTo94,https://www.youtube.com/shorts/s_yLg-OTo94,Comedy,9,12,1.5,0,1,3
20260428_225146,2026-04-28T22:54:18.264560,news_history_1,news,1,1,k19hWR-7xxg,https://www.youtube.com/shorts/k19hWR-7xxg,Entertainment,10,14,1.5,0,1,4
20260428_225146,2026-04-28T22:54:26.861027,news_history_1,news,1,1,2SsQ9i96SZg,https://www.youtube.com/shorts/2SsQ9i96SZg,People & Blogs,11,15,1.5,0,1,4
20260428_225146,2026-04-28T22:54:35.979315,news_history_1,news,1,1,Is50JeD7X8o,https://www.youtube.com/shorts/Is50JeD7X8o,People & Blogs,12,16,1.5,0,1,4
20260428_225146,2026-04-28T22:54:44.540822,news_history_1,news,1,1,zaJXiQ32iFk,https://www.youtube.com/shorts/zaJXiQ32iFk,Entertainment,13,17,1.5,0,1,4
20260428_225146,2026-04-28T22:54:53.549080,news_history_1,news,1,1,N73RFggZenU,https://www.youtube.com/shorts/N73RFggZenU,People & Blogs,14,18,1.5,0,1,4
20260428_225146,2026-04-28T22:55:11.723566,news_history_1,news,1,1,fZbhhcLFuf8,https://www.youtube.com/shorts/fZbhhcLFuf8,Entertainment,15,20,1.5,0,1,5
