session_id,timestamp,condition,history_category,history_intensity,history_video_count,video_id,url,category,depth,total_seen_depth,watch_time,is_sponsored,include_in_prediction,sponsored_skipped_before
20260428_193510,2026-04-28T19:35:47.912138,science_history_1,science,1,1,vKAJuiec-u4,https://www.youtube.com/shorts/vKAJuiec-u4,Howto & Style,1,1,1.5,0,1,0
20260428_193510,2026-04-28T19:35:59.545208,science_history_1,science,1,1,CYeUHvZhuyE,https://www.youtube.com/shorts/CYeUHvZhuyE,Entertainment,2,2,1.5,0,1,0
20260428_193510,2026-04-28T19:36:08.551895,science_history_1,science,1,1,l6c9UaelVsw,https://www.youtube.com/shorts/l6c9UaelVsw,People & Blogs,3,3,1.5,0,1,0
20260428_193510,2026-04-28T19:36:17.672957,science_history_1,science,1,1,3uwL7uXEkso,https://www.youtube.com/shorts/3uwL7uXEkso,Gaming,4,4,1.5,0,1,0
20260428_193510,2026-04-28T19:36:36.729950,science_history_1,science,1,1,OFvfu25fgeg,https://www.youtube.com/shorts/OFvfu25fgeg,Gaming,5,6,1.5,0,1,1
20260428_193510,2026-04-28T19:36:46.298918,science_history_1,science,1,1,qe1p-taM7fQ,https://www.youtube.com/shorts/qe1p-taM7fQ,People & Blogs,6,7,1.5,0,1,1
20260428_193510,2026-04-28T19:36:55.624279,science_history_1,science,1,1,5mlYQAmtrSM,https://www.youtube.com/shorts/5mlYQAmtrSM,Entertainment,7,8,1.5,0,1,1
20260428_193510,2026-04-28T19:37:05.025679,science_history_1,science,1,1,XBX9ey8Alfs,https://www.youtube.com/shorts/XBX9ey8Alfs,Howto & Style,8,9,1.5,0,1,1
20260428_193510,2026-04-28T19:37:24.088674,science_history_1,science,1,1,av6E9n5ts9o,https://www.youtube.com/shorts/av6E9n5ts9o,People & Blogs,9,11,1.5,0,1,2
20260428_193510,2026-04-28T19:37:33.431002,science_history_1,science,1,1,Xn7I7VOnVOA,https://www.youtube.com/shorts/Xn7I7VOnVOA,Science & Technology,10,12,1.5,0,1,2
20260428_193510,2026-04-28T19:37:53.776128,science_history_1,science,1,1,AwKuxJla028,https://www.youtube.com/shorts/AwKuxJla028,Pets & Animals,11,14,1.5,0,1,3
20260428_193510,2026-04-28T19:38:06.014198,science_history_1,science,1,1,glKo3pZvDDs,https://www.youtube.com/shorts/glKo3pZvDDs,People & Blogs,12,15,1.5,0,1,3
20260428_193510,2026-04-28T19:38:15.439696,science_history_1,science,1,1,ZDmAdeNLAMI,https://www.youtube.com/shorts/ZDmAdeNLAMI,Entertainment,13,16,1.5,0,1,3
20260428_193510,2026-04-28T19:38:27.713621,science_history_1,science,1,1,p6KzmzQgIG0,https://www.youtube.com/shorts/p6KzmzQgIG0,Howto & Style,14,17,1.5,0,1,3
20260428_193510,2026-04-28T19:38:46.127011,science_history_1,science,1,1,Jg1ofgPRKws,https://www.youtube.com/shorts/Jg1ofgPRKws,Entertainment,15,19,1.5,0,1,4
20260428_193853,2026-04-28T19:39:28.042254,science_history_1,science,1,1,Uh77XwbiIxg,https://www.youtube.com/shorts/Uh77XwbiIxg,Entertainment,1,1,1.5,0,1,0
20260428_193853,2026-04-28T19:39:39.980852,science_history_1,science,1,1,nod3RbKki70,https://www.youtube.com/shorts/nod3RbKki70,Entertainment,2,2,1.5,0,1,0
20260428_193853,2026-04-28T19:39:49.512242,science_history_1,science,1,1,0vkuY29IOUA,https://www.youtube.com/shorts/0vkuY29IOUA,Film & Animation,3,3,1.5,0,1,0
20260428_193853,2026-04-28T19:40:07.772239,science_history_1,science,1,1,jdK9vm8XmYQ,https://www.youtube.com/shorts/jdK9vm8XmYQ,Entertainment,4,5,1.5,0,1,1
20260428_193853,2026-04-28T19:40:20.526941,science_history_1,science,1,1,1LauKtbgkpo,https://www.youtube.com/shorts/1LauKtbgkpo,Education,5,6,1.5,0,1,1
20260428_193853,2026-04-28T19:40:39.744175,science_history_1,science,1,1,bMJs4YgMXtg,https://www.youtube.com/shorts/bMJs4YgMXtg,People & Blogs,6,8,1.5,0,1,2
20260428_193853,2026-04-28T19:40:49.476848,science_history_1,science,1,1,o5C51XuLe4c,https://www.youtube.com/shorts/o5C51XuLe4c,People & Blogs,7,9,1.5,0,1,2
20260428_193853,2026-04-28T19:41:08.391764,science_history_1,science,1,1,33IaK_xvW_o,https://www.youtube.com/shorts/33IaK_xvW_o,Entertainment,8,11,1.5,0,1,3
20260428_193853,2026-04-28T19:41:17.329402,science_history_1,science,1,1,FOc_fOCkfBE,https://www.youtube.com/shorts/FOc_fOCkfBE,People & Blogs,9,12,1.5,0,1,3
20260428_193853,2026-04-28T19:41:35.899377,science_history_1,science,1,1,R0zK-BMIyv4,https://www.youtube.com/shorts/R0zK-BMIyv4,People & Blogs,10,14,1.5,0,1,4
20260428_193853,2026-04-28T19:41:45.433526,science_history_1,science,1,1,v_BOtXU6Gq8,https://www.youtube.com/shorts/v_BOtXU6Gq8,Entertainment,11,15,1.5,0,1,4
20260428_193853,2026-04-28T19:41:54.797996,science_history_1,science,1,1,zjnmCClwZoQ,https://www.youtube.com/shorts/zjnmCClwZoQ,People & Blogs,12,16,1.5,0,1,4
20260428_193853,2026-04-28T19:42:03.968573,science_history_1,science,1,1,X8SsO7XnC14,https://www.youtube.com/shorts/X8SsO7XnC14,Travel & Events,13,17,1.5,0,1,4
20260428_193853,2026-04-28T19:42:23.352812,science_history_1,science,1,1,98HqjHQG6XE,https://www.youtube.com/shorts/98HqjHQG6XE,People & Blogs,14,19,1.5,0,1,5
20260428_193853,2026-04-28T19:42:32.497695,science_history_1,science,1,1,gJ6yBBbltUE,https://www.youtube.com/shorts/gJ6yBBbltUE,People & Blogs,15,20,1.5,0,1,5
20260428_194240,2026-04-28T19:43:15.564337,science_history_1,science,1,1,6pCU235aZmE,https://www.youtube.com/shorts/6pCU235aZmE,People & Blogs,1,1,1.5,0,1,0
20260428_194240,2026-04-28T19:43:24.998019,science_history_1,science,1,1,oQHpCHwH7kI,https://www.youtube.com/shorts/oQHpCHwH7kI,Howto & Style,2,2,1.5,0,1,0
20260428_194240,2026-04-28T19:43:34.195194,science_history_1,science,1,1,0Jk46SLHjXs,https://www.youtube.com/shorts/0Jk46SLHjXs,People & Blogs,3,3,1.5,0,1,0
20260428_194240,2026-04-28T19:43:53.482821,science_history_1,science,1,1,qNpYIaYZbEo,https://www.youtube.com/shorts/qNpYIaYZbEo,People & Blogs,4,5,1.5,0,1,1
20260428_194240,2026-04-28T19:44:02.742412,science_history_1,science,1,1,TpNG37XkJZc,https://www.youtube.com/shorts/TpNG37XkJZc,Entertainment,5,6,1.5,0,1,1
20260428_194240,2026-04-28T19:44:22.103120,science_history_1,science,1,1,7X9QoM64Su0,https://www.youtube.com/shorts/7X9QoM64Su0,People & Blogs,6,8,1.5,0,1,2
20260428_194240,2026-04-28T19:44:31.696597,science_history_1,science,1,1,2vQ4ew-j9ug,https://www.youtube.com/shorts/2vQ4ew-j9ug,People & Blogs,7,9,1.5,0,1,2
20260428_194240,2026-04-28T19:44:53.006445,science_history_1,science,1,1,BBSr7yM87xI,https://www.youtube.com/shorts/BBSr7yM87xI,Entertainment,8,11,1.5,0,1,3
20260428_194240,2026-04-28T19:45:01.975391,science_history_1,science,1,1,hdhjnZ0W6Fs,https://www.youtube.com/shorts/hdhjnZ0W6Fs,Entertainment,9,12,1.5,0,1,3
20260428_194240,2026-04-28T19:45:21.714997,science_history_1,science,1,1,4BRB0Ak8LiU,https://www.youtube.com/shorts/4BRB0Ak8LiU,Gaming,10,14,1.5,0,1,4
20260428_194240,2026-04-28T19:45:30.448529,science_history_1,science,1,1,99EjeSgKkIg,https://www.youtube.com/shorts/99EjeSgKkIg,People & Blogs,11,15,1.5,0,1,4
20260428_194240,2026-04-28T19:45:40.037436,science_history_1,science,1,1,Hq7cqaMa074,https://www.youtube.com/shorts/Hq7cqaMa074,People & Blogs,12,16,1.5,0,1,4
20260428_194240,2026-04-28T19:45:49.545259,science_history_1,science,1,1,MgWX5wKkHks,https://www.youtube.com/shorts/MgWX5wKkHks,Entertainment,13,17,1.5,0,1,4
20260428_194240,2026-04-28T19:45:59.063132,science_history_1,science,1,1,xjkl7g48lHE,https://www.youtube.com/shorts/xjkl7g48lHE,People & Blogs,14,18,1.5,0,1,4
20260428_194240,2026-04-28T19:46:18.183766,science_history_1,science,1,1,ZDmAdeNLAMI,https://www.youtube.com/shorts/ZDmAdeNLAMI,Entertainment,15,20,1.5,0,1,5
20260428_194627,2026-04-28T19:47:04.706601,science_history_1,science,1,1,vKAJuiec-u4,https://www.youtube.com/shorts/vKAJuiec-u4,Howto & Style,1,1,1.5,0,1,0
20260428_194627,2026-04-28T19:47:16.305858,science_history_1,science,1,1,i4IhzAXj2Ew,https://www.youtube.com/shorts/i4IhzAXj2Ew,Entertainment,2,2,1.5,0,1,0
20260428_194627,2026-04-28T19:47:25.766344,science_history_1,science,1,1,Dme5JPC3oCo,https://www.youtube.com/shorts/Dme5JPC3oCo,People & Blogs,3,3,1.5,0,1,0
20260428_194627,2026-04-28T19:47:45.066063,science_history_1,science,1,1,mpZbVxyRwDE,https://www.youtube.com/shorts/mpZbVxyRwDE,People & Blogs,4,5,1.5,0,1,1
20260428_194627,2026-04-28T19:47:54.150192,science_history_1,science,1,1,EfAaSchdG-U,https://www.youtube.com/shorts/EfAaSchdG-U,People & Blogs,5,6,1.5,0,1,1
20260428_194627,2026-04-28T19:48:03.714917,science_history_1,science,1,1,qe1p-taM7fQ,https://www.youtube.com/shorts/qe1p-taM7fQ,People & Blogs,6,7,1.5,0,1,1
20260428_194627,2026-04-28T19:48:13.033993,science_history_1,science,1,1,p6KzmzQgIG0,https://www.youtube.com/shorts/p6KzmzQgIG0,Howto & Style,7,8,1.5,0,1,1
20260428_194627,2026-04-28T19:48:32.370028,science_history_1,science,1,1,h27FblKO7Zs,https://www.youtube.com/shorts/h27FblKO7Zs,Entertainment,8,10,1.5,0,1,2
20260428_194627,2026-04-28T19:48:41.866415,science_history_1,science,1,1,w47z1nMS1VA,https://www.youtube.com/shorts/w47z1nMS1VA,Entertainment,9,11,1.5,0,1,2
20260428_194627,2026-04-28T19:48:51.286035,science_history_1,science,1,1,mkcF_cIcku0,https://www.youtube.com/shorts/mkcF_cIcku0,Entertainment,10,12,1.5,0,1,2
20260428_194627,2026-04-28T19:49:00.241045,science_history_1,science,1,1,Ijs6owsZeVw,https://www.youtube.com/shorts/Ijs6owsZeVw,People & Blogs,11,13,1.5,0,1,2
20260428_194627,2026-04-28T19:49:18.970615,science_history_1,science,1,1,K6mXtoJc6IE,https://www.youtube.com/shorts/K6mXtoJc6IE,Education,12,15,1.5,0,1,3
20260428_194627,2026-04-28T19:49:28.598606,science_history_1,science,1,1,_fwbKpiOLZo,https://www.youtube.com/shorts/_fwbKpiOLZo,People & Blogs,13,16,1.5,0,1,3
20260428_194627,2026-04-28T19:49:48.017552,science_history_1,science,1,1,IX9yaU783Cw,https://www.youtube.com/shorts/IX9yaU783Cw,Gaming,14,18,1.5,0,1,4
20260428_194627,2026-04-28T19:49:57.422836,science_history_1,science,1,1,glKo3pZvDDs,https://www.youtube.com/shorts/glKo3pZvDDs,People & Blogs,15,19,1.5,0,1,4
20260428_195006,2026-04-28T19:50:41.681744,science_history_1,science,1,1,cTNIcxUIyDc,https://www.youtube.com/shorts/cTNIcxUIyDc,People & Blogs,1,1,1.5,0,1,0
20260428_195006,2026-04-28T19:50:53.165062,science_history_1,science,1,1,nod3RbKki70,https://www.youtube.com/shorts/nod3RbKki70,Entertainment,2,2,1.5,0,1,0
20260428_195006,2026-04-28T19:51:02.488460,science_history_1,science,1,1,bLtO0cEK0XY,https://www.youtube.com/shorts/bLtO0cEK0XY,Entertainment,3,3,1.5,0,1,0
20260428_195006,2026-04-28T19:51:21.812790,science_history_1,science,1,1,zACDqcvMszI,https://www.youtube.com/shorts/zACDqcvMszI,People & Blogs,4,5,1.5,0,1,1
20260428_195006,2026-04-28T19:51:31.417666,science_history_1,science,1,1,2tyP8iP1NcA,https://www.youtube.com/shorts/2tyP8iP1NcA,People & Blogs,5,6,1.5,0,1,1
20260428_195006,2026-04-28T19:51:51.680357,science_history_1,science,1,1,wWiykIJTKHU,https://www.youtube.com/shorts/wWiykIJTKHU,Entertainment,6,8,1.5,0,1,2
20260428_195006,2026-04-28T19:52:01.508620,science_history_1,science,1,1,WhufBMB-oKw,https://www.youtube.com/shorts/WhufBMB-oKw,People & Blogs,7,9,1.5,0,1,2
20260428_195006,2026-04-28T19:52:21.444707,science_history_1,science,1,1,SQiS25WOQIY,https://www.youtube.com/shorts/SQiS25WOQIY,People & Blogs,8,11,1.5,0,1,3
20260428_195006,2026-04-28T19:52:31.582074,science_history_1,science,1,1,_sVMT_4NFrc,https://www.youtube.com/shorts/_sVMT_4NFrc,People & Blogs,9,12,1.5,0,1,3
20260428_195006,2026-04-28T19:52:51.156317,science_history_1,science,1,1,cZm9Yf9t0Nc,https://www.youtube.com/shorts/cZm9Yf9t0Nc,People & Blogs,10,14,1.5,0,1,4
20260428_195006,2026-04-28T19:53:00.696506,science_history_1,science,1,1,0sjFQoRfYo0,https://www.youtube.com/shorts/0sjFQoRfYo0,People & Blogs,11,15,1.5,0,1,4
20260428_195006,2026-04-28T19:53:10.040971,science_history_1,science,1,1,TSjIqQtZG84,https://www.youtube.com/shorts/TSjIqQtZG84,People & Blogs,12,16,1.5,0,1,4
20260428_195006,2026-04-28T19:53:19.174396,science_history_1,science,1,1,mgdzzAyMraQ,https://www.youtube.com/shorts/mgdzzAyMraQ,Entertainment,13,17,1.5,0,1,4
20260428_195006,2026-04-28T19:53:38.193577,science_history_1,science,1,1,6wjbiFeZC1w,https://www.youtube.com/shorts/6wjbiFeZC1w,Howto & Style,14,19,1.5,0,1,5
20260428_195006,2026-04-28T19:53:47.856384,science_history_1,science,1,1,EHUcbf_Mop8,https://www.youtube.com/shorts/EHUcbf_Mop8,Comedy,15,20,1.5,0,1,5
20260428_195355,2026-04-28T19:54:30.718007,science_history_1,science,1,1,6pCU235aZmE,https://www.youtube.com/shorts/6pCU235aZmE,People & Blogs,1,1,1.5,0,1,0
20260428_195355,2026-04-28T19:54:44.525047,science_history_1,science,1,1,ukx3lbjJxrQ,https://www.youtube.com/shorts/ukx3lbjJxrQ,Film & Animation,2,2,1.5,0,1,0
20260428_195355,2026-04-28T19:54:53.993983,science_history_1,science,1,1,fNBoui5Qm-0,https://www.youtube.com/shorts/fNBoui5Qm-0,People & Blogs,3,3,1.5,0,1,0
20260428_195355,2026-04-28T19:56:09.526783,science_history_1,science,1,1,jePjoRWI_dA,https://www.youtube.com/shorts/jePjoRWI_dA,,4,5,1.5,0,1,1
20260428_195355,2026-04-28T19:56:17.113728,science_history_1,science,1,1,hlBlSgjLcns,https://www.youtube.com/shorts/hlBlSgjLcns,,5,6,1.5,0,1,1
20260428_195355,2026-04-28T19:56:24.688246,science_history_1,science,1,1,OiCuWCnI8TA,https://www.youtube.com/shorts/OiCuWCnI8TA,,6,7,1.5,0,1,1
20260428_195355,2026-04-28T19:56:44.509029,science_history_1,science,1,1,Ui9vtcrIINs,https://www.youtube.com/shorts/Ui9vtcrIINs,People & Blogs,7,8,1.5,0,1,1
20260428_195355,2026-04-28T19:56:54.310340,science_history_1,science,1,1,WAw1gLvq9cE,https://www.youtube.com/shorts/WAw1gLvq9cE,Entertainment,8,9,1.5,0,1,1
20260428_195355,2026-04-28T19:57:14.288241,science_history_1,science,1,1,SdnYWKfAh9M,https://www.youtube.com/shorts/SdnYWKfAh9M,Entertainment,9,11,1.5,0,1,2
20260428_195355,2026-04-28T19:57:23.628488,science_history_1,science,1,1,y1nGLefEshE,https://www.youtube.com/shorts/y1nGLefEshE,People & Blogs,10,12,1.5,0,1,2
20260428_195355,2026-04-28T19:57:32.600781,science_history_1,science,1,1,B5NwHNNje-k,https://www.youtube.com/shorts/B5NwHNNje-k,People & Blogs,11,13,1.5,0,1,2
20260428_195355,2026-04-28T19:57:43.669424,science_history_1,science,1,1,yX0j1Qr96Vg,https://www.youtube.com/shorts/yX0j1Qr96Vg,People & Blogs,12,14,1.5,0,1,2
20260428_195355,2026-04-28T19:58:04.235079,science_history_1,science,1,1,SiX081lNFKc,https://www.youtube.com/shorts/SiX081lNFKc,People & Blogs,13,16,1.5,0,1,3
20260428_195355,2026-04-28T19:58:14.396011,science_history_1,science,1,1,N53VLNGkDUg,https://www.youtube.com/shorts/N53VLNGkDUg,Gaming,14,17,1.5,0,1,3
20260428_195355,2026-04-28T19:58:23.426933,science_history_1,science,1,1,E9QuFZVyamk,https://www.youtube.com/shorts/E9QuFZVyamk,Gaming,15,18,1.5,0,1,3
20260428_195831,2026-04-28T19:59:07.060528,science_history_1,science,1,1,vKAJuiec-u4,https://www.youtube.com/shorts/vKAJuiec-u4,Howto & Style,1,1,1.5,0,1,0
20260428_195831,2026-04-28T19:59:20.370616,science_history_1,science,1,1,4Ln4fKpqJhA,https://www.youtube.com/shorts/4Ln4fKpqJhA,Entertainment,2,2,1.5,0,1,0
20260428_195831,2026-04-28T19:59:29.725830,science_history_1,science,1,1,f6NvUOkQHSE,https://www.youtube.com/shorts/f6NvUOkQHSE,Education,3,3,1.5,0,1,0
20260428_195831,2026-04-28T19:59:49.571129,science_history_1,science,1,1,iOlum9Z_STc,https://www.youtube.com/shorts/iOlum9Z_STc,Entertainment,4,5,1.5,0,1,1
20260428_195831,2026-04-28T19:59:58.592542,science_history_1,science,1,1,H037elkF374,https://www.youtube.com/shorts/H037elkF374,People & Blogs,5,6,1.5,0,1,1
20260428_195831,2026-04-28T20:00:19.548017,science_history_1,science,1,1,2Imm_UdCFvU,https://www.youtube.com/shorts/2Imm_UdCFvU,People & Blogs,6,8,1.5,0,1,2
20260428_195831,2026-04-28T20:00:28.746319,science_history_1,science,1,1,SfO7DmHpMgA,https://www.youtube.com/shorts/SfO7DmHpMgA,People & Blogs,7,9,1.5,0,1,2
20260428_195831,2026-04-28T20:00:38.434160,science_history_1,science,1,1,doSVI9n2_OQ,https://www.youtube.com/shorts/doSVI9n2_OQ,Entertainment,8,10,1.5,0,1,2
