session_id,timestamp,condition,history_category,history_intensity,history_video_count,video_id,url,category,depth,total_seen_depth,watch_time,is_sponsored,include_in_prediction,sponsored_skipped_before
20260428_155632,2026-04-28T15:57:11.757240,sport_history_1,sport,1,1,Uh77XwbiIxg,https://www.youtube.com/shorts/Uh77XwbiIxg,Entertainment,1,1,1.5,0,1,0
20260428_155632,2026-04-28T15:57:20.932578,sport_history_1,sport,1,1,iOPVqf04Ybk,https://www.youtube.com/shorts/iOPVqf04Ybk,Entertainment,2,2,1.5,0,1,0
20260428_155632,2026-04-28T15:57:30.320439,sport_history_1,sport,1,1,nod3RbKki70,https://www.youtube.com/shorts/nod3RbKki70,Entertainment,3,3,1.5,0,1,0
20260428_155632,2026-04-28T15:57:49.122007,sport_history_1,sport,1,1,r_n5w_UIRRE,https://www.youtube.com/shorts/r_n5w_UIRRE,People & Blogs,4,5,1.5,0,1,1
20260428_155632,2026-04-28T15:57:58.850431,sport_history_1,sport,1,1,_nna9FkxfFU,https://www.youtube.com/shorts/_nna9FkxfFU,People & Blogs,5,6,1.5,0,1,1
20260428_155632,2026-04-28T15:58:17.147569,sport_history_1,sport,1,1,ZSUtw-b603g,https://www.youtube.com/shorts/ZSUtw-b603g,Sports,6,8,1.5,0,1,2
20260428_155632,2026-04-28T15:58:26.503527,sport_history_1,sport,1,1,UAm44OYjnnQ,https://www.youtube.com/shorts/UAm44OYjnnQ,Entertainment,7,9,1.5,0,1,2
20260428_155632,2026-04-28T15:58:35.709607,sport_history_1,sport,1,1,Ijs6owsZeVw,https://www.youtube.com/shorts/Ijs6owsZeVw,People & Blogs,8,10,1.5,0,1,2
20260428_155632,2026-04-28T15:58:47.423409,sport_history_1,sport,1,1,2poyoryishQ,https://www.youtube.com/shorts/2poyoryishQ,Entertainment,9,11,1.5,0,1,2
20260428_155632,2026-04-28T15:58:56.448270,sport_history_1,sport,1,1,KU_9f_CI0Zw,https://www.youtube.com/shorts/KU_9f_CI0Zw,Entertainment,10,12,1.5,0,1,2
20260428_155632,2026-04-28T15:59:16.053233,sport_history_1,sport,1,1,5cuW92VfgX8,https://www.youtube.com/shorts/5cuW92VfgX8,People & Blogs,11,14,1.5,0,1,3
20260428_155632,2026-04-28T15:59:25.278067,sport_history_1,sport,1,1,qvnvQEI-BbQ,https://www.youtube.com/shorts/qvnvQEI-BbQ,People & Blogs,12,15,1.5,0,1,3
20260428_155632,2026-04-28T15:59:35.280467,sport_history_1,sport,1,1,Z4HW5GxtKk8,https://www.youtube.com/shorts/Z4HW5GxtKk8,People & Blogs,13,16,1.5,0,1,3
20260428_155632,2026-04-28T15:59:44.742982,sport_history_1,sport,1,1,CGW4Q_u3I8Q,https://www.youtube.com/shorts/CGW4Q_u3I8Q,Film & Animation,14,17,1.5,0,1,3
20260428_155632,2026-04-28T16:00:04.011173,sport_history_1,sport,1,1,jEgn5tzH5BU,https://www.youtube.com/shorts/jEgn5tzH5BU,People & Blogs,15,19,1.5,0,1,4
20260428_160011,2026-04-28T16:00:46.477157,sport_history_1,sport,1,1,791thgPUzjk,https://www.youtube.com/shorts/791thgPUzjk,Sports,1,1,1.5,0,1,0
20260428_160011,2026-04-28T16:00:57.659466,sport_history_1,sport,1,1,bLCihhz0wJg,https://www.youtube.com/shorts/bLCihhz0wJg,Sports,2,2,1.5,0,1,0
20260428_160011,2026-04-28T16:01:06.720512,sport_history_1,sport,1,1,AlKKKzygHIQ,https://www.youtube.com/shorts/AlKKKzygHIQ,Sports,3,3,1.5,0,1,0
20260428_160011,2026-04-28T16:01:26.591613,sport_history_1,sport,1,1,0AX51ouWIX4,https://www.youtube.com/shorts/0AX51ouWIX4,People & Blogs,4,5,1.5,0,1,1
20260428_160011,2026-04-28T16:01:35.708508,sport_history_1,sport,1,1,oiSVnGMIhRs,https://www.youtube.com/shorts/oiSVnGMIhRs,People & Blogs,5,6,1.5,0,1,1
20260428_160011,2026-04-28T16:01:45.191693,sport_history_1,sport,1,1,IAQJpgy9x5E,https://www.youtube.com/shorts/IAQJpgy9x5E,People & Blogs,6,7,1.5,0,1,1
20260428_160011,2026-04-28T16:01:54.384250,sport_history_1,sport,1,1,uDB8LMEuSec,https://www.youtube.com/shorts/uDB8LMEuSec,Entertainment,7,8,1.5,0,1,1
20260428_160011,2026-04-28T16:02:03.753604,sport_history_1,sport,1,1,E0lCPpu0CFw,https://www.youtube.com/shorts/E0lCPpu0CFw,People & Blogs,8,9,1.5,0,1,1
20260428_160011,2026-04-28T16:02:25.411264,sport_history_1,sport,1,1,zrev_c12U0I,https://www.youtube.com/shorts/zrev_c12U0I,Entertainment,9,11,1.5,0,1,2
20260428_160011,2026-04-28T16:02:34.213525,sport_history_1,sport,1,1,Nked34WeDew,https://www.youtube.com/shorts/Nked34WeDew,People & Blogs,10,12,1.5,0,1,2
20260428_160011,2026-04-28T16:02:52.586977,sport_history_1,sport,1,1,EZQoQucMrhQ,https://www.youtube.com/shorts/EZQoQucMrhQ,People & Blogs,11,14,1.5,0,1,3
20260428_160011,2026-04-28T16:03:01.817879,sport_history_1,sport,1,1,OamxfqGeF0w,https://www.youtube.com/shorts/OamxfqGeF0w,Entertainment,12,15,1.5,0,1,3
20260428_160011,2026-04-28T16:03:11.062330,sport_history_1,sport,1,1,KFldRbImOOQ,https://www.youtube.com/shorts/KFldRbImOOQ,Entertainment,13,16,1.5,0,1,3
20260428_160011,2026-04-28T16:03:20.273965,sport_history_1,sport,1,1,R-KWPccZrP4,https://www.youtube.com/shorts/R-KWPccZrP4,Film & Animation,14,17,1.5,0,1,3
20260428_160011,2026-04-28T16:03:43.452101,sport_history_1,sport,1,1,8yH8C2LdwkU,https://www.youtube.com/shorts/8yH8C2LdwkU,Entertainment,15,19,1.5,0,1,4
20260428_160350,2026-04-28T16:04:24.539568,sport_history_1,sport,1,1,791thgPUzjk,https://www.youtube.com/shorts/791thgPUzjk,Sports,1,1,1.5,0,1,0
20260428_160350,2026-04-28T16:04:35.484543,sport_history_1,sport,1,1,LZnFaPUd5yw,https://www.youtube.com/shorts/LZnFaPUd5yw,Sports,2,2,1.5,0,1,0
20260428_160350,2026-04-28T16:04:46.118269,sport_history_1,sport,1,1,Nked34WeDew,https://www.youtube.com/shorts/Nked34WeDew,People & Blogs,3,3,1.5,0,1,0
20260428_160350,2026-04-28T16:04:54.780584,sport_history_1,sport,1,1,OiCuWCnI8TA,https://www.youtube.com/shorts/OiCuWCnI8TA,People & Blogs,4,4,1.5,0,1,0
20260428_160350,2026-04-28T16:05:04.374337,sport_history_1,sport,1,1,OqTlKY0jsAQ,https://www.youtube.com/shorts/OqTlKY0jsAQ,People & Blogs,5,5,1.5,0,1,0
20260428_160350,2026-04-28T16:05:24.237434,sport_history_1,sport,1,1,6aLGnpmMOls,https://www.youtube.com/shorts/6aLGnpmMOls,Gaming,6,6,1.5,0,1,0
