depth,category_clean,prob
1,People & Blogs,0.33505154639175255
1,Sports,0.16494845360824742
1,Entertainment,0.14432989690721648
1,Gaming,0.0979381443298969
1,Comedy,0.05670103092783505
1,Music,0.05154639175257732
1,News & Politics,0.04639175257731959
1,Education,0.041237113402061855
1,Howto & Style,0.02577319587628866
1,Film & Animation,0.020618556701030927
1,Other,0.005154639175257732
1,Science & Technology,0.005154639175257732
1,Pets & Animals,0.005154639175257732
2,People & Blogs,0.3917525773195876
2,Entertainment,0.22164948453608246
2,Sports,0.10824742268041238
2,Gaming,0.10309278350515463
2,Film & Animation,0.061855670103092786
2,Howto & Style,0.03608247422680412
2,Science & Technology,0.030927835051546393
2,Music,0.02577319587628866
2,Comedy,0.010309278350515464
2,Education,0.005154639175257732
2,Other,0.005154639175257732
3,People & Blogs,0.422680412371134
3,Entertainment,0.23195876288659795
3,Gaming,0.13402061855670103
3,Sports,0.0979381443298969
3,Education,0.030927835051546393
3,Comedy,0.030927835051546393
3,Other,0.010309278350515464
3,Film & Animation,0.010309278350515464
3,Science & Technology,0.010309278350515464
3,News & Politics,0.010309278350515464
3,Pets & Animals,0.005154639175257732
3,Music,0.005154639175257732
4,People & Blogs,0.4484536082474227
4,Entertainment,0.17525773195876287
4,Gaming,0.13402061855670103
4,Sports,0.09278350515463918
4,Science & Technology,0.030927835051546393
4,Comedy,0.030927835051546393
4,Film & Animation,0.030927835051546393
4,Education,0.015463917525773196
4,Howto & Style,0.015463917525773196
4,News & Politics,0.010309278350515464
4,Other,0.010309278350515464
4,Music,0.005154639175257732
5,People & Blogs,0.4896907216494845
5,Entertainment,0.2268041237113402
5,Sports,0.07731958762886598
5,Gaming,0.041237113402061855
5,Comedy,0.030927835051546393
5,Music,0.02577319587628866
5,Howto & Style,0.02577319587628866
5,Film & Animation,0.02577319587628866
5,Education,0.02577319587628866
5,Other,0.020618556701030927
5,Pets & Animals,0.005154639175257732
5,News & Politics,0.005154639175257732
6,People & Blogs,0.4381443298969072
6,Entertainment,0.1958762886597938
6,Gaming,0.13402061855670103
6,Sports,0.10309278350515463
6,Film & Animation,0.030927835051546393
6,Howto & Style,0.030927835051546393
6,Comedy,0.015463917525773196
6,Music,0.015463917525773196
6,Other,0.010309278350515464
6,Education,0.010309278350515464
6,Science & Technology,0.010309278350515464
6,Pets & Animals,0.005154639175257732
7,People & Blogs,0.4639175257731959
7,Entertainment,0.23711340206185566
7,Gaming,0.08762886597938144
7,Sports,0.07216494845360824
7,Education,0.03608247422680412
7,Music,0.02577319587628866
7,Howto & Style,0.020618556701030927
7,Science & Technology,0.015463917525773196
7,Film & Animation,0.015463917525773196
7,News & Politics,0.010309278350515464
7,Comedy,0.010309278350515464
7,Other,0.005154639175257732
8,People & Blogs,0.4381443298969072
8,Entertainment,0.2268041237113402
8,Sports,0.10309278350515463
8,Gaming,0.0979381443298969
8,Comedy,0.03608247422680412
8,Education,0.02577319587628866
8,Howto & Style,0.02577319587628866
8,News & Politics,0.020618556701030927
8,Film & Animation,0.010309278350515464
8,Science & Technology,0.005154639175257732
8,Pets & Animals,0.005154639175257732
8,Other,0.005154639175257732
9,People & Blogs,0.4690721649484536
9,Entertainment,0.30412371134020616
9,Sports,0.061855670103092786
9,Comedy,0.041237113402061855
9,Gaming,0.041237113402061855
9,Film & Animation,0.030927835051546393
9,Education,0.010309278350515464
9,Pets & Animals,0.010309278350515464
9,Science & Technology,0.010309278350515464
9,Other,0.010309278350515464
9,Howto & Style,0.005154639175257732
9,Music,0.005154639175257732
10,People & Blogs,0.4270833333333333
10,Entertainment,0.18229166666666666
10,Gaming,0.125
10,Sports,0.109375
10,Education,0.057291666666666664
10,Science & Technology,0.03125
10,Comedy,0.026041666666666668
10,Film & Animation,0.020833333333333332
10,Music,0.010416666666666666
10,News & Politics,0.005208333333333333
10,Pets & Animals,0.005208333333333333
11,People & Blogs,0.4791666666666667
11,Entertainment,0.21875
11,Gaming,0.125
11,Sports,0.046875
11,Education,0.036458333333333336
11,Music,0.03125
11,Pets & Animals,0.026041666666666668
11,Howto & Style,0.010416666666666666
11,Film & Animation,0.010416666666666666
11,Comedy,0.005208333333333333
11,Science & Technology,0.005208333333333333
11,Other,0.005208333333333333
12,People & Blogs,0.421875
12,Entertainment,0.23958333333333334
12,Gaming,0.08854166666666667
12,Sports,0.08333333333333333
12,Music,0.03125
12,Comedy,0.03125
12,Howto & Style,0.020833333333333332
12,Science & Technology,0.020833333333333332
12,Pets & Animals,0.020833333333333332
12,Education,0.020833333333333332
12,Film & Animation,0.010416666666666666
12,News & Politics,0.005208333333333333
12,Other,0.005208333333333333
13,People & Blogs,0.4635416666666667
13,Entertainment,0.22395833333333334
13,Gaming,0.09895833333333333
13,Sports,0.09895833333333333
13,Science & Technology,0.03125
13,Comedy,0.020833333333333332
13,Howto & Style,0.015625
13,Other,0.015625
13,Film & Animation,0.010416666666666666
13,Pets & Animals,0.010416666666666666
13,Education,0.005208333333333333
13,News & Politics,0.005208333333333333
14,People & Blogs,0.375
14,Entertainment,0.18229166666666666
14,Gaming,0.13020833333333334
14,Sports,0.06770833333333333
14,Comedy,0.057291666666666664
14,Education,0.052083333333333336
14,Howto & Style,0.046875
14,Film & Animation,0.03125
14,Music,0.026041666666666668
14,Science & Technology,0.015625
14,Other,0.010416666666666666
14,Pets & Animals,0.005208333333333333
15,People & Blogs,0.4791666666666667
15,Entertainment,0.2552083333333333
15,Gaming,0.08333333333333333
15,Sports,0.07291666666666667
15,Comedy,0.03125
15,Science & Technology,0.026041666666666668
15,Education,0.015625
15,Howto & Style,0.015625
15,Film & Animation,0.005208333333333333
15,Other,0.005208333333333333
15,News & Politics,0.005208333333333333
15,Pets & Animals,0.005208333333333333
