depth,category_clean,prob
1,People & Blogs,0.33505154639175255
2,People & Blogs,0.3917525773195876
3,People & Blogs,0.422680412371134
4,People & Blogs,0.4484536082474227
5,People & Blogs,0.4896907216494845
6,People & Blogs,0.4381443298969072
7,People & Blogs,0.4639175257731959
8,People & Blogs,0.4381443298969072
9,People & Blogs,0.4690721649484536
10,People & Blogs,0.4270833333333333
11,People & Blogs,0.4791666666666667
12,People & Blogs,0.421875
13,People & Blogs,0.4635416666666667
14,People & Blogs,0.375
15,People & Blogs,0.4791666666666667
