previous_category,Autos & Vehicles,Comedy,Education,Entertainment,Film & Animation,Gaming,Howto & Style,Music,News & Politics,Nonprofits & Activism,People & Blogs,Pets & Animals,Science & Technology,Sports,Travel & Events
Autos & Vehicles,0.0,0.0,0.0,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.5,0.0,0.125,0.0,0.0
Comedy,0.0,0.01282051282051282,0.01282051282051282,0.21794871794871795,0.0,0.07692307692307693,0.0,0.02564102564102564,0.01282051282051282,0.0,0.5641025641025641,0.01282051282051282,0.02564102564102564,0.038461538461538464,0.0
Education,0.013888888888888888,0.027777777777777776,0.041666666666666664,0.2361111111111111,0.013888888888888888,0.06944444444444445,0.013888888888888888,0.013888888888888888,0.0,0.0,0.4444444444444444,0.0,0.013888888888888888,0.1111111111111111,0.0
Entertainment,0.0034482758620689655,0.027586206896551724,0.02586206896551724,0.22413793103448276,0.02413793103448276,0.1103448275862069,0.01896551724137931,0.01896551724137931,0.0034482758620689655,0.0,0.43103448275862066,0.008620689655172414,0.020689655172413793,0.07931034482758621,0.0034482758620689655
Film & Animation,0.0,0.016129032258064516,0.016129032258064516,0.25806451612903225,0.03225806451612903,0.11290322580645161,0.0,0.04838709677419355,0.0,0.0,0.4032258064516129,0.0,0.016129032258064516,0.0967741935483871,0.0
Gaming,0.0,0.025179856115107913,0.01079136690647482,0.24100719424460432,0.017985611510791366,0.27697841726618705,0.007194244604316547,0.01079136690647482,0.0,0.0,0.35611510791366907,0.0035971223021582736,0.007194244604316547,0.04316546762589928,0.0
Howto & Style,0.0,0.09259259259259259,0.018518518518518517,0.3333333333333333,0.0,0.018518518518518517,0.018518518518518517,0.037037037037037035,0.0,0.0,0.4444444444444444,0.0,0.0,0.037037037037037035,0.0
Music,0.0,0.04,0.02,0.14,0.02,0.06,0.04,0.02,0.02,0.0,0.58,0.02,0.0,0.04,0.0
News & Politics,0.0,0.0,0.043478260869565216,0.13043478260869565,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.0,0.0,0.0,0.6086956521739131,0.0,0.0,0.043478260869565216,0.0
Nonprofits & Activism,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0
People & Blogs,0.004273504273504274,0.028205128205128206,0.029914529914529916,0.2222222222222222,0.024786324786324785,0.07692307692307693,0.02735042735042735,0.011111111111111112,0.009401709401709401,0.002564102564102564,0.45726495726495725,0.006837606837606838,0.021367521367521368,0.0735042735042735,0.004273504273504274
Pets & Animals,0.0,0.05,0.0,0.2,0.05,0.05,0.0,0.0,0.0,0.0,0.5,0.0,0.05,0.1,0.0
Science & Technology,0.0,0.0,0.046511627906976744,0.27906976744186046,0.0,0.046511627906976744,0.023255813953488372,0.0,0.0,0.0,0.4883720930232558,0.046511627906976744,0.023255813953488372,0.046511627906976744,0.0
Sports,0.004016064257028112,0.020080321285140562,0.01606425702811245,0.20080321285140562,0.01606425702811245,0.060240963855421686,0.004016064257028112,0.012048192771084338,0.0,0.0,0.41767068273092367,0.008032128514056224,0.004016064257028112,0.23694779116465864,0.0
Travel & Events,0.0,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.125,0.0
